ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000001.SZ,20220729,12.88,12.9,12.65,12.68,12.88,-0.20000000000000107,-1.5528,831497.47,1059518.585
000001.SZ,20220728,12.81,12.91,12.78,12.88,12.79,0.09000000000000163,0.7037,750346.52,964903.658
000001.SZ,20220727,12.85,12.88,12.73,12.79,12.91,-0.120000000000001,-0.9295,923914.08,1182889.761
000001.SZ,20220726,12.75,12.91,12.71,12.91,12.82,0.08999999999999986,0.702,1024048.81,1314310.442
000001.SZ,20220725,12.8,12.85,12.67,12.82,12.81,0.009999999999999787,0.0781,763955.81,976071.707
000001.SZ,20220722,12.84,12.93,12.62,12.81,12.78,0.030000000000001137,0.2347,1376509.74,1755555.714
000001.SZ,20220721,13.0845,13.1042,12.7604,12.78,13.1533,-0.3733000000000004,-2.8381,1970387.89,2588696.13
000001.SZ,20220720,13.1926,13.2319,13.114,13.1533,13.1828,-0.029500000000000526,-0.2238,801458.66,1073936.3
000001.SZ,20220719,13.1042,13.1926,13.0452,13.1828,13.1533,0.029500000000000526,0.2243,755597.1,1008562.417
000001.SZ,20220718,13.0158,13.2024,12.9765,13.1533,13.0059,0.1473999999999993,1.1333,1153505.81,1536340.973
000001.SZ,20220715,13.2417,13.3203,12.9863,13.0059,13.1336,-0.12769999999999904,-0.9723,1598637.4,2139915.274
000001.SZ,20220714,13.4578,13.4676,13.0551,13.1336,13.723,-0.5894000000000013,-4.295,2632120.87,3534578.702
000001.SZ,20220713,14.1651,14.2142,13.6444,13.723,14.1651,-0.44209999999999994,-3.1211,2175996.06,3056913.118
000001.SZ,20220712,14.1553,14.4696,14.1258,14.1651,14.2044,-0.039299999999999,-0.2767,742882.42,1078431.99
000001.SZ,20220711,14.2437,14.3124,14.1061,14.2044,14.283,-0.07859999999999978,-0.5503,611691.94,883613.754
000001.SZ,20220708,14.2437,14.391,14.116,14.283,14.1651,0.11789999999999878,0.8323,639698.23,928850.349
000001.SZ,20220707,14.283,14.391,14.1258,14.1651,14.2731,-0.10799999999999876,-0.7567,730160.98,1057696.547
000001.SZ,20220706,14.5678,14.6661,14.2044,14.2731,14.6464,-0.3733000000000004,-2.5487,1043335.23,1520022.515
000001.SZ,20220705,14.725,15.0001,14.558,14.6464,14.6759,-0.029500000000000526,-0.201,1115172.1,1674719.025
000001.SZ,20220704,14.6857,14.7152,14.4892,14.6759,14.6562,0.019700000000000273,0.1344,834968.07,1241453.402
000001.SZ,20220701,14.7348,14.8036,14.5777,14.6562,14.7152,-0.058999999999999275,-0.4009,779243.32,1164030.776
000001.SZ,20220630,14.3714,14.7545,14.2928,14.7152,14.3812,0.33399999999999963,2.3225,1548745.01,2304888.692
000001.SZ,20220629,14.391,14.6366,14.2928,14.3812,14.3714,0.009800000000000253,0.0682,1266547.28,1865064.678
000001.SZ,20220628,14.2142,14.4107,14.1553,14.3714,14.2338,0.13759999999999906,0.9667,1125110.48,1638673.242
000001.SZ,20220627,13.9883,14.3026,13.9686,14.2338,13.9784,0.25539999999999985,1.8271,1497278.18,2166380.438
000001.SZ,20220624,13.949,13.9981,13.8606,13.9784,13.949,0.02940000000000076,0.2108,866040.61,1227798.687
000001.SZ,20220623,13.8409,13.9784,13.8114,13.949,13.8311,0.11790000000000056,0.8524,806028.03,1140899.092
000001.SZ,20220622,14.1061,14.1061,13.8311,13.8311,14.116,-0.2849000000000004,-2.0183,1056045.92,1498415.784
000001.SZ,20220621,14.0865,14.3714,13.9784,14.116,14.0865,0.029500000000000526,0.2094,1321793.98,1905346.057
000001.SZ,20220620,14.1847,14.1847,14.0079,14.0865,14.1945,-0.10800000000000054,-0.7609,1032166.8,1479529.787
000001.SZ,20220617,14.0668,14.2731,13.949,14.1945,14.1847,0.009800000000000253,0.0691,1053787.94,1513925.914
000001.SZ,20220616,14.4794,14.5678,14.1651,14.1847,14.4794,-0.29470000000000063,-2.0353,1332546.31,1939976.255
000001.SZ,20220615,13.8507,14.8429,13.8114,14.4794,13.8704,0.609,4.3906,3413543.71,5010292.727
000001.SZ,20220614,13.4676,13.8802,13.4676,13.8704,13.6641,0.2063000000000006,1.5098,1151429.39,1602169.898
000001.SZ,20220613,13.9293,13.9391,13.6346,13.6641,14.0668,-0.40270000000000117,-2.8628,1547752.85,2163340.109
000001.SZ,20220610,14.0079,14.0767,13.8802,14.0668,14.0963,-0.02949999999999875,-0.2093,1346012.31,1914639.698
000001.SZ,20220609,13.89,14.2044,13.8507,14.0963,13.9097,0.18659999999999854,1.3415,1632901.34,2339986.708
000001.SZ,20220608,13.9097,13.9195,13.7623,13.9097,13.9097,0.0,0.0,1145521.24,1613524.958
000001.SZ,20220607,13.7722,13.9981,13.7427,13.9097,13.9195,-0.009799999999998477,-0.0704,1315112.62,1860366.716
000001.SZ,20220606,13.6641,13.9195,13.3989,13.9195,13.7034,0.21609999999999907,1.577,1710851.75,2370807.61
000001.SZ,20220602,13.7722,13.782,13.6346,13.7034,13.8311,-0.12769999999999904,-0.9233,979268.22,1363740.798
000001.SZ,20220601,13.89,13.89,13.7525,13.8311,13.9097,-0.07860000000000156,-0.5651,845298.98,1187423.732
000001.SZ,20220531,13.8213,13.9293,13.7525,13.9097,13.8311,0.07860000000000156,0.5683,938868.55,1325012.048
000001.SZ,20220530,14.0079,14.0276,13.7918,13.8311,13.9293,-0.09820000000000029,-0.705,896901.23,1265573.048
000001.SZ,20220527,14.0374,14.0963,13.8606,13.9293,13.9391,-0.009800000000000253,-0.0703,723066.74,1029702.186
000001.SZ,20220526,14.1553,14.1749,13.8213,13.9391,14.1356,-0.19650000000000034,-1.3901,1011317.56,1435689.342
000001.SZ,20220525,14.1749,14.2338,14.0472,14.1356,14.1454,-0.009800000000000253,-0.0693,603228.26,866228.924
000001.SZ,20220524,14.6071,14.6071,14.1454,14.1454,14.5678,-0.42239999999999966,-2.8995,933557.06,1358693.535
000001.SZ,20220523,14.8036,14.8036,14.4991,14.5678,14.7545,-0.1867000000000001,-1.2654,647725.92,962683.729
000001.SZ,20220520,14.4401,14.7741,14.4107,14.7545,14.3615,0.3930000000000007,2.7365,948597.78,1415164.711
000001.SZ,20220519,14.2928,14.4401,14.2437,14.3615,14.4892,-0.1277000000000008,-0.8813,590921.72,863214.131
000001.SZ,20220518,14.5875,14.6268,14.4107,14.4892,14.45,0.03920000000000101,0.2713,778578.33,1150500.438
000001.SZ,20220517,14.2535,14.4598,14.0668,14.45,14.1553,0.29469999999999885,2.0819,931406.39,1357428.407
000001.SZ,20220516,14.4008,14.4696,14.0963,14.1553,14.3517,-0.1963999999999988,-1.3685,668227.82,965652.298
000001.SZ,20220513,14.2437,14.4008,14.2338,14.3517,14.1258,0.22589999999999932,1.5992,676311.91,985962.932
000001.SZ,20220512,14.224,14.3026,14.0767,14.1258,14.3714,-0.2455999999999996,-1.7089,685064.23,987061.607
000001.SZ,20220511,14.283,14.5777,14.1847,14.3714,14.3321,0.039299999999999,0.2742,848573.62,1240700.426
000001.SZ,20220510,14.2437,14.3419,13.8606,14.3321,14.2928,0.03930000000000078,0.275,992285.02,1425836.927
000001.SZ,20220509,14.6759,14.6759,14.2044,14.2928,14.6955,-0.4026999999999994,-2.7403,818621.35,1197104.247
000001.SZ,20220506,14.7545,14.9313,14.6464,14.6955,15.0492,-0.3537000000000017,-2.3503,832431.82,1250995.594
000001.SZ,20220505,14.9313,15.1769,14.8822,15.0492,15.0492,0.0,0.0,790196.2,1208735.141
000001.SZ,20220429,15.4126,15.4617,14.7054,15.0492,15.3733,-0.3240999999999996,-2.1082,1645013.08,2503476.827
000001.SZ,20220428,15.2947,15.6484,15.0983,15.3733,15.3733,0.0,0.0,911771.87,1426381.925
000001.SZ,20220427,14.7152,15.3733,14.6955,15.3733,14.4696,0.9037000000000006,6.2455,1490295.03,2296798.759
000001.SZ,20220426,14.6169,14.7152,14.1945,14.4696,14.5875,-0.11790000000000056,-0.8082,988209.56,1456929.632
000001.SZ,20220425,15.393,15.6287,14.5187,14.5875,15.7761,-1.1885999999999992,-7.5342,1664480.98,2527610.217
000001.SZ,20220422,15.3635,15.9038,15.1278,15.7761,15.5305,0.2455999999999996,1.5814,921274.08,1468452.957
000001.SZ,20220421,15.4912,15.6975,15.4225,15.5305,15.5698,-0.03930000000000078,-0.2524,709891.16,1124663.651
000001.SZ,20220420,15.5305,15.7663,15.4225,15.5698,15.5305,0.03930000000000078,0.2531,716555.28,1137697.846
000001.SZ,20220419,15.6189,15.6877,15.3439,15.5305,15.6189,-0.08840000000000003,-0.566,821772.49,1294226.951
000001.SZ,20220418,15.8645,15.9136,15.5305,15.6189,16.1297,-0.5107999999999997,-3.1668,1086887.56,1734236.523
000001.SZ,20220415,15.6189,16.2378,15.5796,16.1297,15.7564,0.3733000000000004,2.3692,1231761.03,2014010.094
000001.SZ,20220414,15.7171,15.9627,15.6386,15.7564,15.5207,0.23569999999999958,1.5186,929614.94,1493343.952
000001.SZ,20220413,15.6091,15.7957,15.4421,15.5207,15.6386,-0.11790000000000056,-0.7539,890628.06,1415496.125
000001.SZ,20220412,15.7663,15.9726,15.3832,15.6386,15.7663,-0.12769999999999904,-0.81,1039261.42,1654820.082
000001.SZ,20220411,16.061,16.1101,15.5207,15.7663,16.1101,-0.3437999999999999,-2.1341,1416735.36,2277469.055
000001.SZ,20220408,15.9726,16.1592,15.8448,16.1101,15.9922,0.11789999999999878,0.7372,1066779.46,1741072.072
000001.SZ,20220407,16.0904,16.3655,15.9136,15.9922,16.1003,-0.10810000000000031,-0.6714,1659064.55,2724002.904
000001.SZ,20220406,15.3635,16.2476,15.3537,16.1003,15.4716,0.6287000000000003,4.0636,2488540.05,4064051.491
000001.SZ,20220401,15.0983,15.5109,14.9313,15.4716,15.1081,0.36350000000000016,2.406,1484878.74,2319616.863
000001.SZ,20220331,14.8331,15.2947,14.7938,15.1081,14.9411,0.16699999999999982,1.1177,1163746.74,1789209.946
000001.SZ,20220330,14.5973,15.0001,14.4991,14.9411,14.4205,0.5206,3.6101,1236791.55,1859617.04
000001.SZ,20220329,14.6169,14.6857,14.3419,14.4205,14.5875,-0.16699999999999982,-1.1448,615643.15,909169.631
000001.SZ,20220328,14.5384,14.7839,14.3714,14.5875,14.7152,-0.12769999999999904,-0.8678,727136.99,1078327.302
000001.SZ,20220325,14.8822,14.9804,14.558,14.7152,14.9313,-0.21610000000000085,-1.4473,742933.35,1116354.595
000001.SZ,20220324,14.6562,15.0393,14.5482,14.9313,14.7348,0.19650000000000034,1.3336,1002359.95,1518870.08
000001.SZ,20220323,14.8429,14.9215,14.6366,14.7348,14.9116,-0.17680000000000007,-1.1857,1050102.38,1577561.341
000001.SZ,20220322,14.3321,14.9509,14.2437,14.9116,14.3321,0.5794999999999995,4.0434,1628656.58,2443174.055
000001.SZ,20220321,14.2437,14.558,14.1356,14.3321,14.4401,-0.10799999999999876,-0.7479,1208868.05,1765673.892
000001.SZ,20220318,14.1061,14.5875,13.89,14.4401,14.1945,0.2455999999999996,1.7302,1528807.13,2222158.762
000001.SZ,20220317,14.4008,14.45,13.9883,14.1945,14.057,0.1374999999999993,0.9782,1730061.42,2506504.217
000001.SZ,20220316,13.615,14.1454,13.2712,14.057,13.4382,0.6188000000000002,4.6048,1531779.06,2141637.065
000001.SZ,20220315,14.1454,14.1454,13.3596,13.4382,14.2338,-0.7956000000000003,-5.5895,1781408.87,2479769.555
000001.SZ,20220314,14.3714,14.6661,14.1945,14.2338,14.6366,-0.40279999999999916,-2.752,1118407.34,1637278.471
000001.SZ,20220311,14.1454,14.7152,13.8999,14.6366,14.3124,0.3241999999999994,2.2652,1493646.97,2187480.61
000001.SZ,20220310,13.9293,14.4892,13.8409,14.3124,13.5953,0.7171000000000003,5.2746,2249158.16,3269867.788
000001.SZ,20220309,14.1454,14.1945,12.9863,13.5953,14.057,-0.46170000000000044,-3.2845,1800760.17,2492042.993
000001.SZ,20220308,14.3615,14.5973,13.9981,14.057,14.4598,-0.40279999999999916,-2.7857,1003032.69,1463145.93
000001.SZ,20220307,14.9018,14.9018,14.4008,14.4598,15.059,-0.5991999999999997,-3.979,1113158.99,1655959.941
000001.SZ,20220304,15.3439,15.3537,15.0099,15.059,15.4323,-0.3733000000000004,-2.419,990935.66,1523793.664
000001.SZ,20220303,15.4519,15.5305,15.3537,15.4323,15.4028,0.029500000000000526,0.1915,578285.05,908171.588
000001.SZ,20220302,15.5109,15.5894,15.3832,15.4028,15.6386,-0.23580000000000112,-1.5078,760760.86,1196321.948
000001.SZ,20220301,15.5109,15.668,15.3439,15.6386,15.4716,0.16699999999999982,1.0794,935040.34,1474693.965
000001.SZ,20220228,15.6189,15.6386,15.3439,15.4716,15.6189,-0.14729999999999954,-0.9431,723990.45,1137154.094
000001.SZ,20220225,15.7073,15.7957,15.5894,15.6189,15.6287,-0.009800000000000253,-0.0627,726397.07,1157890.268
000001.SZ,20220224,15.8448,15.8645,15.5207,15.6287,15.9038,-0.2751000000000001,-1.7298,1324086.85,2112842.553
000001.SZ,20220223,16.0118,16.0217,15.7564,15.9038,15.9431,-0.039299999999999,-0.2465,886742.44,1431289.852
000001.SZ,20220222,16.0217,16.1494,15.8743,15.9431,16.2181,-0.27500000000000036,-1.6956,894956.73,1454156.224
000001.SZ,20220221,16.3655,16.3753,16.0315,16.2181,16.4735,-0.2554000000000016,-1.5504,800994.55,1316023.718
000001.SZ,20220218,16.0315,16.4735,16.0217,16.4735,16.1297,0.34380000000000166,2.1315,802499.4,1330233.365
000001.SZ,20220217,16.1003,16.2574,16.0315,16.1297,16.1199,0.009799999999998477,0.0608,794501.84,1306514.349
000001.SZ,20220216,16.061,16.2378,15.9234,16.1199,15.9922,0.1277000000000008,0.7985,782399.59,1282234.15
000001.SZ,20220215,16.2083,16.3753,15.8154,15.9922,16.2869,-0.29469999999999885,-1.8094,1208264.37,1968985.378
000001.SZ,20220214,16.7977,16.8468,16.2181,16.2869,16.7977,-0.5107999999999997,-3.0409,1150658.51,1917613.419
000001.SZ,20220211,16.7289,17.0335,16.7289,16.7977,16.6896,0.10810000000000031,0.6477,1078139.14,1852167.493
000001.SZ,20220210,16.4735,16.7289,16.3753,16.6896,16.5619,0.12769999999999726,0.771,784557.35,1326848.947
000001.SZ,20220209,16.6209,16.6995,16.4146,16.5619,16.5325,0.029400000000002535,0.1778,1051161.66,1774253.636
000001.SZ,20220208,16.0118,16.67,15.9726,16.5325,16.1003,0.43219999999999814,2.6844,1754695.28,2950309.012
000001.SZ,20220207,15.7368,16.1199,15.6091,16.1003,15.5502,0.5501000000000005,3.5376,1515476.3,2451798.485
000001.SZ,20220128,16.1003,16.1592,15.5403,15.5502,16.0118,-0.4616000000000007,-2.8829,1675563.67,2695470.33
000001.SZ,20220127,16.2083,16.2476,15.9627,16.0118,16.3557,-0.3438999999999979,-2.1026,1024643.11,1677261.296
000001.SZ,20220126,16.6504,16.7977,16.2476,16.3557,16.5521,-0.19640000000000057,-1.1866,984975.22,1646384.984
000001.SZ,20220125,16.7781,16.7781,16.5128,16.5521,16.8959,-0.34380000000000166,-2.0348,1093283.97,1851999.025
000001.SZ,20220124,17.0335,17.0728,16.6798,16.8959,17.0433,-0.14739999999999753,-0.8649,874770.87,1501390.339
000001.SZ,20220121,17.1415,17.2496,16.9058,17.0433,17.0236,0.019700000000000273,0.1157,1481682.95,2575115.124
000001.SZ,20220120,16.1788,17.1513,16.1297,17.0236,16.2083,0.815299999999997,5.0301,3031193.77,5195805.549
000001.SZ,20220119,16.2476,16.3949,16.0708,16.2083,16.228,-0.019700000000000273,-0.1214,988391.85,1630973.587
000001.SZ,20220118,15.9627,16.2476,15.8743,16.228,15.9333,0.2947000000000024,1.8496,1152974.31,1891094.61
000001.SZ,20220117,16.061,16.1887,15.835,15.9333,16.0413,-0.10800000000000054,-0.6733,1143689.43,1855633.789
000001.SZ,20220114,16.6995,16.7191,16.0118,16.0413,16.6798,-0.6385000000000005,-3.828,2103094.91,3459950.804
000001.SZ,20220113,16.6111,16.9352,16.5227,16.6798,16.6995,-0.019700000000000273,-0.118,909422.65,1550319.158
000001.SZ,20220112,17.1022,17.1415,16.6012,16.6995,17.1022,-0.4026999999999994,-2.3547,1502163.55,2561266.412
000001.SZ,20220111,16.9549,17.2299,16.837,17.1022,16.8861,0.21610000000000085,1.2798,1581999.4,2752485.391
000001.SZ,20220110,16.9843,17.112,16.7289,16.8861,16.8959,-0.00980000000000203,-0.058,909774.01,1563414.572
000001.SZ,20220107,16.7977,16.9745,16.7584,16.8959,16.8173,0.07860000000000156,0.4674,1126630.7,1937710.958
000001.SZ,20220106,16.8075,16.9647,16.6995,16.8173,16.8468,-0.029500000000002302,-0.1751,1107885.19,1896535.837
000001.SZ,20220105,16.2869,16.9156,16.2574,16.8468,16.3655,0.48130000000000095,2.9409,1961998.17,3344124.589
000001.SZ,20220104,16.1887,16.3655,15.894,16.3655,16.1887,0.17680000000000007,1.0921,1169259.33,1918887.05
000001.SZ,20211231,16.5619,16.6012,16.1101,16.1887,16.5227,-0.33399999999999963,-2.0215,1750760.89,2899617.148
000001.SZ,20211230,16.4637,16.6504,16.4244,16.5227,16.4539,0.06879999999999953,0.4181,796663.6,1342374.249
000001.SZ,20211229,16.8566,16.8566,16.4048,16.4539,16.8665,-0.41259999999999764,-2.4463,1469373.98,2480534.592
000001.SZ,20211228,16.9156,17.0236,16.7879,16.8665,16.9156,-0.04910000000000281,-0.2903,1126638.91,1934461.075
000001.SZ,20211227,17.0236,17.0433,16.8566,16.9156,17.004,-0.08840000000000003,-0.5199,731118.99,1260455.319
000001.SZ,20211224,17.0236,17.0433,16.9058,17.004,17.0138,-0.009799999999998477,-0.0576,488251.49,843109.664
000001.SZ,20211223,17.0924,17.1219,16.9058,17.0138,17.0826,-0.06879999999999953,-0.4027,1059575.94,1831122.716
000001.SZ,20211222,17.3085,17.3282,16.9942,17.0826,17.279,-0.19640000000000057,-1.1366,976927.75,1701772.583
000001.SZ,20211221,17.1808,17.3969,17.171,17.279,17.2103,0.06869999999999976,0.3992,893734.04,1572895.581
000001.SZ,20211220,17.2496,17.338,17.1415,17.2103,17.2594,-0.049099999999999255,-0.2845,746435.2,1309029.268
000001.SZ,20211217,17.3871,17.4362,17.2594,17.2594,17.4067,-0.14730000000000132,-0.8462,602369.67,1062875.482
000001.SZ,20211216,17.2397,17.4166,17.1513,17.4067,17.2397,0.1670000000000016,0.9687,819479.51,1445483.375
000001.SZ,20211215,17.2005,17.3478,17.0924,17.2397,17.2692,-0.029500000000002302,-0.1708,1294627.41,2269821.045
000001.SZ,20211214,17.839,17.8488,17.2103,17.2692,17.947,-0.6777999999999977,-3.7767,1937208.9,3434156.327
000001.SZ,20211213,18.1435,18.5462,17.8586,17.947,18.0551,-0.10810000000000031,-0.5987,1314490.27,2427803.721
000001.SZ,20211210,18.1828,18.3694,17.947,18.0551,18.3694,-0.31429999999999936,-1.711,989255.13,1824076.523
000001.SZ,20211209,18.1631,18.7231,18.0452,18.3694,18.1435,0.22589999999999932,1.2451,1455886.68,2726663.443
000001.SZ,20211208,18.1238,18.2221,17.839,18.1435,18.1337,0.009799999999998477,0.054,980281.18,1798691.052
000001.SZ,20211207,17.9765,18.3399,17.8291,18.1337,17.78,0.3536999999999999,1.9893,1616443.87,2979968.976
000001.SZ,20211206,17.5344,18.2319,17.4853,17.78,17.338,0.44200000000000017,2.5493,2145625.28,3896385.171
000001.SZ,20211203,17.3282,17.3871,17.1022,17.338,17.279,0.05900000000000105,0.3415,707599.74,1242375.057
000001.SZ,20211202,17.3085,17.4951,17.0629,17.279,17.3282,-0.04919999999999902,-0.2839,994798.35,1749164.558
000001.SZ,20211201,17.1219,17.4559,17.0629,17.3282,17.1317,0.19650000000000034,1.147,706925.19,1243666.842
000001.SZ,20211130,17.2299,17.3674,17.0433,17.1317,17.2005,-0.06880000000000308,-0.4,733616.06,1280384.552
000001.SZ,20211129,17.1022,17.2594,17.0531,17.2005,17.2692,-0.06869999999999976,-0.3978,512594.71,895105.981
000001.SZ,20211126,17.3085,17.3576,17.2103,17.2692,17.3674,-0.09819999999999851,-0.5654,694499.88,1219937.312
000001.SZ,20211125,17.4264,17.4755,17.3183,17.3674,17.5541,-0.1866999999999983,-1.0636,603532.7,1068221.304
000001.SZ,20211124,17.4559,17.6327,17.3478,17.5541,17.5639,-0.00980000000000203,-0.0558,741310.84,1316774.397
000001.SZ,20211123,17.7898,18.0256,17.3674,17.5639,17.7997,-0.23580000000000112,-1.3247,1235977.96,2213817.59
000001.SZ,20211122,17.7113,17.9274,17.5836,17.7997,17.8291,-0.029399999999998983,-0.1649,738617.8,1337768.172
000001.SZ,20211119,17.4853,17.9175,17.3871,17.8291,17.4853,0.34380000000000166,1.9662,786371.56,1414506.38
000001.SZ,20211118,17.7702,17.7997,17.4166,17.4853,17.7898,-0.3045000000000009,-1.7117,799843.77,1430058.311
000001.SZ,20211117,17.8291,17.9765,17.6621,17.7898,17.8979,-0.10810000000000031,-0.604,664640.38,1203859.18
000001.SZ,20211116,18.0354,18.2122,17.8488,17.8979,18.1042,-0.20629999999999882,-1.1395,601110.48,1099113.409
